Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency,
159580,0TO7,074604,Wholesale of Household Goods,"12,290,000","6,145,000,000",500,KRW,1566
060310,3S KOREA,032602,Manufacture of Electronic Components,"40,892,268","20,446,134,000",500,KRW,90
015260,A & P,032602,Manufacture of Electronic Components,"41,901,467","20,950,733,500",500,KRW,365
071670,A-Tech,032902,Manufacture of Special-Purpose Machinery,"10,000,000","5,000,000,000",500,KRW,1143
031860,A-motion,074608,Wholesale of Non-Specialized Goods,"13,375,930","6,687,965,000",500,KRW,1061
036010,ABEL,032801,"Manufacture of Electric Motors, Generators and Transforming, Distributing and Controlling Apparatus of Electricity","12,772,626","6,636,313,000",500,KRW,820
078520,ABLE C&C,032004,Manufacture of Other Chemical Products,"14,003,642","7,001,821,000",500,KRW,1834
203400,ABN,137001,Research and Experimental Development On Natural Sciences and Engineering,"8,117,014","4,058,507,000",500,KRW,1814
102120,ABOV,032601,Manufacture of Semiconductor,"17,459,653","8,729,826,500",500,KRW,539
131400,ACT,032602,Manufacture of Electronic Components,"15,000,000","7,500,000,000",500,KRW,1571
138360,ACTCOS,032004,Manufacture of Other Chemical Products,"6,115,000","3,057,500,000",500,KRW,862
052790,ACTOZ SOFT,105802,Software Development and Supply,"11,325,438","5,662,719,000",500,KRW,170
054630,ADChips,074605,Wholesale of Machinery Equipment and Supplies,"8,526,920","4,263,460,000",500,KRW,1039
200710,ADTechnology,032601,Manufacture of Semiconductor,"4,102,195","2,345,856,000",500,KRW,1826
013990,AGABANG&CO,074604,Wholesale of Household Goods,"32,760,000","16,380,000,000",500,KRW,910
001540,AHN-GOOK PHA,032102,Manufacture of Medicaments,"13,042,420","6,521,210,000",500,KRW,1233
053800,AHNLAB,105802,Software Development and Supply,"10,013,855","5,182,644,500",500,KRW,146
022220,AIKANG REMETECH,032202,Manufacture of Plastic Products,"51,794,579","25,897,289,500",500,KRW,1738
068400,AJ RENT A CAR,126901,Renting of Transport Equipment,"22,146,300","11,073,150,000",500,KRW,1146
059120,AJINEXTEK,032601,Manufacture of Semiconductor,"5,630,000","2,815,000,000",500,KRW,86
033660,AJU CAPITAL,116409,Other Financial Intermediation,"57,545,890","287,729,450,000","5,000",KRW,1379
006840,AK Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","13,247,561","66,237,805,000","5,000",KRW,232
161000,AK PETROCHEMICAL,032004,Manufacture of Other Chemical Products,"3,204,000","16,020,000,000","5,000",,1580
117670,ALPHACHIPS,032601,Manufacture of Semiconductor,"8,032,896","4,016,448,000",500,KRW,1093
001780,ALUKO,032402,Manufacture of Basic Precious and Non-ferrous Metals,"64,231,377","32,115,688,500",500,KRW,1142
002250,ALVOGEN KOREA,032102,Manufacture of Medicaments,"11,857,922","59,289,610,000","5,000",KRW,793
074430,AMINOLOGICS,074607,Other Specialized Wholesale,"73,252,320","7,325,232,000",100,KRW,1186
002790,AMORE Group,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","79,790,980","43,117,375,000",500,KRW,1060
090430,AMOREPACIFIC,032004,Manufacture of Other Chemical Products,"58,458,490","34,508,160,000",500,KRW,129
008700,ANAM ELEC,032605,Manufacture of Electronic Video and Audio Equipment,"77,124,820","38,562,410,000",500,KRW,421
123860,ANAPASS,032601,Manufacture of Semiconductor,"10,127,700","5,063,850,000",500,KRW,1484
121600,ANP,032004,Manufacture of Other Chemical Products,"7,232,222","3,616,111,000",500,KRW,1437
054620,AP Systems,032902,Manufacture of Special-Purpose Machinery,"23,409,961","11,704,980,500",500,KRW,1318
058220,ARION,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"9,998,700","4,999,350,000",500,KRW,1499
101140,ARTIS,074604,Wholesale of Household Goods,"20,027,281","10,013,640,500",500,KRW,550
183190,ASIA CEMENT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","3,295,809","16,479,045,000","5,000",KRW,1604
002030,ASIA HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","2,191,024","10,955,120,000","5,000",KRW,430
083570,ASIA PACIFIC NO.10,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW,211
083580,ASIA PACIFIC NO.11,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW,267
083590,ASIA PACIFIC NO.12,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW,239
083600,ASIA PACIFIC NO.13,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW,600
083610,ASIA PACIFIC NO.14,126901,Renting of Transport Equipment,"1,946,194","9,730,970,000","5,000",KRW,263
083620,ASIA PACIFIC NO.15,126901,Renting of Transport Equipment,"1,946,583","9,732,915,000","5,000",KRW,266
002310,ASIA PAPR MFG,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","8,956,502","44,782,510,000","5,000",KRW,1129
154030,ASIA SEED,010101,Growing of Crops,"6,076,620","3,038,310,000",500,KRW,1588
050860,ASIA TECHNOLOGY,032902,Manufacture of Special-Purpose Machinery,"17,500,000","8,750,000,000",500,KRW,1517
090470,ASTJETEC,032902,Manufacture of Special-Purpose Machinery,"14,597,808","7,298,904,000",500,KRW,118
067390,ASTK,033103,"Manufacture of Aircraft, Spacecraft and its Parts","13,797,653","7,150,826,500",500,KRW,1468
089530,AT semicon,032601,Manufacture of Semiconductor,"50,685,473","25,342,736,500",500,KRW,138
073570,AT technology,032902,Manufacture of Special-Purpose Machinery,"5,625,898","2,812,949,000",500,KRW,482
045660,ATEC,032603,Manufacture of Computers and Peripheral Equipment,"13,600,000","6,800,000,000",500,KRW,301
023890,ATLAS,032802,Manufacture of Primary Cells and Batteries and Accumulators,"9,150,000","9,150,000,000","1,000",KRW,780
017900,AUK,032601,Manufacture of Semiconductor,"57,943,763","28,971,881,500",500,KRW,501
039830,AURORA,137302,Specialized Design Services,"10,762,890","5,381,445,000",500,KRW,568
031510,AUSTEM,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"26,000,000","13,000,000,000",500,KRW,413
083930,AVACO,032902,Manufacture of Special-Purpose Machinery,"15,996,505","7,998,252,500",500,KRW,526
149950,AVATEC,032602,Manufacture of Electronic Components,"16,307,500","8,153,750,000",500,KRW,275
090370,AVISTA INC.,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","15,634,461","7,817,230,500",500,KRW,1680
032080,AZTECHWB,031304,Dyeing and Finishing Textiles,"16,081,287","8,040,643,500",500,KRW,1381
950130,Access Bio,032103,Manufacture of Pharmaceutical Goods Other Than Medicaments,"26,849,930",0,0,USD,1157
056730,Accupix,032605,Manufacture of Electronic Video and Audio Equipment,"30,340,086","15,170,043,000",500,KRW,124
088800,Ace Technologies,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"23,815,598","11,907,799,000",500,KRW,804
003800,AceBed,033201,Manufacture of Furniture,"2,218,000","11,090,000,000","5,000",KRW,676
067160,AfreecaTV,105802,Software Development and Supply,"10,328,867","5,164,433,500",500,KRW,1178
043580,Aimhigh,074608,Wholesale of Non-Specialized Goods,"14,501,566","7,250,783,000",500,KRW,251
196170,Alteogen,137001,Research and Experimental Development On Natural Sciences and Engineering,"5,904,945","2,952,472,500",500,KRW,1860
085810,Alticast,105802,Software Development and Supply,"21,223,160","10,987,352,000",500,KRW,385
123750,Alton Sports,033109,Manufacture of Other Transport Equipment,"11,556,297","5,778,148,500",500,KRW,1492
092040,Amicogen,031007,Manufacture of Other Food Products,"8,669,450","4,334,725,000",500,KRW,42
052710,Amotech,032602,Manufacture of Electronic Components,"9,743,406","4,871,703,000",500,KRW,168
050320,Anamit,074605,Wholesale of Machinery Equipment and Supplies,"7,429,500","3,714,750,000",500,KRW,1378
072770,Aromasoft,105802,Software Development and Supply,"15,949,683","7,974,841,500",500,KRW,1036
020560,Asiana Airlines,085101,Scheduled Air Transport,"195,101,365","975,506,825,000","5,000",KRW,479
021080,Atinum Investment,116402,Investment Companies,"48,000,000","24,000,000,000",500,KRW,548
067170,Autech,033002,Manufacture of Bodies for Motor Vehicles ; Manufacture of Trailers and Semitrailers,"11,428,214","5,714,107,000",500,KRW,1453
215050,B&D Life Health,032004,Manufacture of Other Chemical Products,"2,080,000","208,000,000",100,KRW,1905
156170,B&S Media,032603,Manufacture of Computers and Peripheral Equipment,"3,204,540","1,602,270,000",500,KRW,1561
014580,BAEKKWANG MIN PDT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","27,583,100","13,791,550,000",500,KRW,1294
035150,BAIKSAN,032202,Manufacture of Plastic Products,"24,200,000","14,000,000,000",500,KRW,364
066110,BAIKSAN OPC,032603,Manufacture of Computers and Peripheral Equipment,"25,817,134","12,908,567,000",500,KRW,4
064520,BARUN,032601,Manufacture of Semiconductor,"46,144,418","23,072,209,000",500,KRW,61
200780,BCWORLDPHARM,032102,Manufacture of Medicaments,"6,673,848","1,334,769,600",200,KRW,1869
046310,BG T&A,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"11,451,000","5,725,500,000",500,KRW,913
027410,BGF Retail,074701,Retail Sale in Non-Specialized Stores,"24,640,080","24,640,080,000","1,000",,769
